tweet_text,clean_text,lemmatized_text,compound,sentiment
People,people,people,0.0,neutral
Maricopa County Elections,maricopa county elections,maricopa county election,0.0,neutral
Elections Canada,elections canada,election canada,0.0,neutral
Elections NL,elections nl,election nl,0.0,neutral
View all,view all,view,0.0,neutral
Big Timber Lodge,big timber lodge,big timber lodge,0.0,neutral
Akashdeep Thind,akashdeep thind,akashdeep thind,0.0,neutral
TVShowJunkie,tvshowjunkie,tvshowjunkie,0.0,neutral
Phillip Scott,phillip scott,phillip scott,0.0,neutral
Indian,indian,indian,0.0,neutral
Nc kalakote Sunderbani,nc kalakote sunderbani,nc kalakote sunderbani,0.0,neutral
@Dharm_singh,,,0.0,neutral
Nc kalakote Sunderbani,nc kalakote sunderbani,nc kalakote sunderbani,0.0,neutral
Nc kalakote Sunderbani,nc kalakote sunderbani,nc kalakote sunderbani,0.0,neutral
Fix Fort Lauderdale,fix fort lauderdale,fix fort lauderdale,0.0,neutral
Michael M,michael m,michael,0.0,neutral
Byron Smith,byron smith,byron smith,0.0,neutral
Jules,jules,jules,0.0,neutral
Haider Majeed,haider majeed,haider majeed,0.0,neutral
Denver Fail,denver fail,denver fail,-0.5423,negative
Del Stone Jr.,del stone jr,del stone jr,0.0,neutral
ᶠᵃⁿ Eric Trump,ᶠᵃⁿ eric trump,ᶠᵃⁿ eric trump,0.0,neutral
Deep,deep,deep,0.0,neutral
Nc kalakote Sunderbani,nc kalakote sunderbani,nc kalakote sunderbani,0.0,neutral
Byron Smith,byron smith,byron smith,0.0,neutral
Del Stone Jr.,del stone jr,del stone jr,0.0,neutral
Gagan Bindal (बनिया),gagan bindal बनय,gagan bindal बनय,0.0,neutral
Munavar,munavar,munavar,0.0,neutral
Del Stone Jr.,del stone jr,del stone jr,0.0,neutral
ᶠᵃⁿ Eric Trump,ᶠᵃⁿ eric trump,ᶠᵃⁿ eric trump,0.0,neutral
Deep,deep,deep,0.0,neutral
The Resistant Palestinian Pens,the resistant palestinian pens,resistant palestinian pen,0.0,neutral
La Revue Afrique,la revue afrique,la revue afrique,0.0,neutral
Arunabh Chowdhury,arunabh chowdhury,arunabh chowdhury,0.0,neutral
ThePatrioticBlonde,thepatrioticblonde,thepatrioticblonde,0.0,neutral
The Market Journal,the market journal,market journal,0.0,neutral
Gagan Bindal (बनिया),gagan bindal बनय,gagan bindal बनय,0.0,neutral
La Revue Afrique,la revue afrique,la revue afrique,0.0,neutral
SOCIETAL MEDIA,societal media,societal medium,0.0,neutral
RJGannon,rjgannon,rjgannon,0.0,neutral
Megsie,megsie,megsie,0.0,neutral
Spectrum News 1 SoCal,spectrum news socal,spectrum news socal,0.0,neutral
Justina Armistead,justina armistead,justina armistead,0.0,neutral
La Revue Afrique,la revue afrique,la revue afrique,0.0,neutral
Irina ( iviira9),irina iviira,irina iviira,0.0,neutral
MAGA FORCE,maga force,maga force,0.0,neutral
Spectrum News 1 SoCal,spectrum news socal,spectrum news socal,0.0,neutral
Justina Armistead,justina armistead,justina armistead,0.0,neutral
MAGA FORCE,maga force,maga force,0.0,neutral
"Magenta Sage Strategies, LLC",magenta sage strategies llc,magenta sage strategy llc,0.0,neutral
Eugene,eugene,eugene,0.0,neutral
Law Wala,law wala,law wala,0.0,neutral
Patti,patti,patti,0.0,neutral
The Economist,the economist,economist,0.0,neutral
Ngozi Mayree,ngozi mayree,ngozi mayree,0.0,neutral
Virginie Joron,virginie joron,virginie joron,0.0,neutral
The Economist,the economist,economist,0.0,neutral
The Economist,the economist,economist,0.0,neutral
Denver Fail,denver fail,denver fail,-0.5423,negative
Christy-Belle Geha,christybelle geha,christybelle geha,0.0,neutral
RJGannon,rjgannon,rjgannon,0.0,neutral
Amanda Baller,amanda baller,amanda baller,0.0,neutral
RJGannon,rjgannon,rjgannon,0.0,neutral
Ms. Krumm,ms krumm,m krumm,0.0,neutral
Steph \⁷,steph ⁷,steph ⁷,0.0,neutral
Front Page,front page,front page,0.0,neutral
Karina Karapetyan,karina karapetyan,karina karapetyan,0.0,neutral
The Charlotte Observer,the charlotte observer,charlotte observer,0.0,neutral
Queen City News,queen city news,queen city news,0.0,neutral
LULAC,lulac,lulac,0.0,neutral
TheStarKenya,thestarkenya,thestarkenya,0.0,neutral
LetUsVote,letusvote,letusvote,0.0,neutral
Sherry Anne,sherry anne,sherry anne,0.0,neutral
Roundtable Network,roundtable network,roundtable network,0.0,neutral
LetUsVote,letusvote,letusvote,0.0,neutral
Roundtable Network,roundtable network,roundtable network,0.0,neutral
TVShowJunkie,tvshowjunkie,tvshowjunkie,0.0,neutral
Phillip Scott,phillip scott,phillip scott,0.0,neutral
Big Timber Lodge,big timber lodge,big timber lodge,0.0,neutral
@Dharm_singh,,,0.0,neutral
Nc kalakote Sunderbani,nc kalakote sunderbani,nc kalakote sunderbani,0.0,neutral
Michael M,michael m,michael,0.0,neutral
Akashdeep Thind,akashdeep thind,akashdeep thind,0.0,neutral
Fix Fort Lauderdale,fix fort lauderdale,fix fort lauderdale,0.0,neutral
Indian,indian,indian,0.0,neutral
Del Stone Jr.,del stone jr,del stone jr,0.0,neutral
Denver Fail,denver fail,denver fail,-0.5423,negative
SOCIETAL MEDIA,societal media,societal medium,0.0,neutral
Haider Majeed,haider majeed,haider majeed,0.0,neutral
Spectrum News 1 SoCal,spectrum news socal,spectrum news socal,0.0,neutral
Denver Fail,denver fail,denver fail,-0.5423,negative
RJGannon,rjgannon,rjgannon,0.0,neutral
Megsie,megsie,megsie,0.0,neutral
Nc kalakote Sunderbani,nc kalakote sunderbani,nc kalakote sunderbani,0.0,neutral
Justina Armistead,justina armistead,justina armistead,0.0,neutral
LetUsVote,letusvote,letusvote,0.0,neutral
MAGA FORCE,maga force,maga force,0.0,neutral
RJGannon,rjgannon,rjgannon,0.0,neutral
Deep,deep,deep,0.0,neutral
Sherry Anne,sherry anne,sherry anne,0.0,neutral
Amanda Baller,amanda baller,amanda baller,0.0,neutral
Ms. Krumm,ms krumm,m krumm,0.0,neutral
TheStarKenya,thestarkenya,thestarkenya,0.0,neutral
Gagan Bindal (बनिया),gagan bindal बनय,gagan bindal बनय,0.0,neutral
The Charlotte Observer,the charlotte observer,charlotte observer,0.0,neutral
Karina Karapetyan,karina karapetyan,karina karapetyan,0.0,neutral
LULAC,lulac,lulac,0.0,neutral
The Charlotte Observer,the charlotte observer,charlotte observer,0.0,neutral
LULAC,lulac,lulac,0.0,neutral
LULAC,lulac,lulac,0.0,neutral
TheStarKenya,thestarkenya,thestarkenya,0.0,neutral
LULAC,lulac,lulac,0.0,neutral
LULAC,lulac,lulac,0.0,neutral
LULAC,lulac,lulac,0.0,neutral
Resist Hate,resist hate,resist hate,-0.5719,negative
El BigNess,el bigness,el bigness,0.0,neutral
Jaspreet Singh Gulati,jaspreet singh gulati,jaspreet singh gulati,0.0,neutral
DigitalJM,digitaljm,digitaljm,0.0,neutral
DigitalJM,digitaljm,digitaljm,0.0,neutral
DigitalJM,digitaljm,digitaljm,0.0,neutral
DigitalJM,digitaljm,digitaljm,0.0,neutral
DigitalJM,digitaljm,digitaljm,0.0,neutral
DigitalJM,digitaljm,digitaljm,0.0,neutral
Tarun.P,tarunp,tarunp,0.0,neutral
4Mamas Creative Boutique LLC,mamas creative boutique llc,mama creative boutique llc,0.4404,positive
Bobnews24.com,bobnewscom,bobnewscom,0.0,neutral
TAM,tam,tam,0.0,neutral
TAM,tam,tam,0.0,neutral
The Optimiist,the optimiist,optimiist,0.0,neutral
RCI-EyeOnTheArctic,rcieyeonthearctic,rcieyeonthearctic,0.0,neutral
ROHIT ARIHANT,rohit arihant,rohit arihant,0.0,neutral
Falcon Trader ( Not a financial advisor),falcon trader not a financial advisor,falcon trader financial advisor,0.0,neutral
Préfet Nouvelle-Aquitaine et Gironde,préfet nouvelleaquitaine et gironde,préfet nouvelleaquitaine et gironde,0.0,neutral
ceanpolitics,ceanpolitics,ceanpolitics,0.0,neutral
Dr. Hanar Marouf,dr hanar marouf,dr hanar marouf,0.0,neutral
RCI-EyeOnTheArctic,rcieyeonthearctic,rcieyeonthearctic,0.0,neutral
ROHIT ARIHANT,rohit arihant,rohit arihant,0.0,neutral
Falcon Trader ( Not a financial advisor),falcon trader not a financial advisor,falcon trader financial advisor,0.0,neutral
Préfet Nouvelle-Aquitaine et Gironde,préfet nouvelleaquitaine et gironde,préfet nouvelleaquitaine et gironde,0.0,neutral
ceanpolitics,ceanpolitics,ceanpolitics,0.0,neutral
Dr. Hanar Marouf,dr hanar marouf,dr hanar marouf,0.0,neutral
ASC _USA,asc _usa,asc _usa,0.0,neutral
Saamanluu Baagundali,saamanluu baagundali,saamanluu baagundali,0.0,neutral
Flying Eze,flying eze,flying eze,0.0,neutral
Undercover Reporter,undercover reporter,undercover reporter,0.0,neutral
Radio Guira,radio guira,radio guira,0.0,neutral
Radio Guira,radio guira,radio guira,0.0,neutral
Yusaku Horiuchi,yusaku horiuchi,yusaku horiuchi,0.0,neutral
NewMediaAmerica,newmediaamerica,newmediaamerica,0.0,neutral
SUNO NEWS HD,suno news hd,suno news hd,0.0,neutral
AAJ Digital,aaj digital,aaj digital,0.0,neutral
Melina Abdullah,melina abdullah,melina abdullah,0.0,neutral
YUSUF CAN AYAZ,yusuf can ayaz,yusuf ayaz,0.0,neutral
Dr. Rachel Roper,dr rachel roper,dr rachel roper,0.0,neutral
Ici Beyrouth,ici beyrouth,ici beyrouth,0.0,neutral
SUNO NEWS HD,suno news hd,suno news hd,0.0,neutral
Daily News - Trending | Breaking | Technology,daily news trending breaking technology,daily news trending breaking technology,0.0,neutral
文化中心,文化中心,文化中心,0.0,neutral
Daily News - Trending | Breaking | Technology,daily news trending breaking technology,daily news trending breaking technology,0.0,neutral
SUNO NEWS HD,suno news hd,suno news hd,0.0,neutral
Ici Beyrouth,ici beyrouth,ici beyrouth,0.0,neutral
The Federal Telangana,the federal telangana,federal telangana,0.0,neutral
Sundarbans Stories,sundarbans stories,sundarbans story,0.0,neutral
Mister Jed-Eye,mister jedeye,mister jedeye,0.0,neutral
Mister Jed-Eye,mister jedeye,mister jedeye,0.0,neutral
CGT FAPT 49,cgt fapt,cgt fapt,0.0,neutral
Daily News - Trending | Breaking | Technology,daily news trending breaking technology,daily news trending breaking technology,0.0,neutral
Mister Jed-Eye,mister jedeye,mister jedeye,0.0,neutral
Mister Jed-Eye,mister jedeye,mister jedeye,0.0,neutral
NoFluffTweets,noflufftweets,noflufftweets,0.0,neutral
ABP Nadu,abp nadu,abp nadu,0.0,neutral
RAJA BHAIYA,raja bhaiya,raja bhaiya,0.0,neutral
ABP माझा,abp मझ,abp मझ,0.0,neutral
ସତ୍ୟ ଖବର,ସତୟ ଖବର,ସତୟ ଖବର,0.0,neutral
Mark,mark,mark,0.0,neutral
Regional&Federal St,regionalfederal st,regionalfederal st,0.0,neutral
JVP,jvp,jvp,0.0,neutral
Akashdeep Thind,akashdeep thind,akashdeep thind,0.0,neutral
The International Parliament Journal (IPJ),the international parliament journal ipj,international parliament journal ipj,0.0,neutral
Alahad TV-EN,alahad tven,alahad tven,0.0,neutral
Ichonoclast1,ichonoclast,ichonoclast,0.0,neutral
The Federal,the federal,federal,0.0,neutral
ThePopUp Now,thepopup now,thepopup,0.0,neutral
Sundarbans Stories,sundarbans stories,sundarbans story,0.0,neutral
Mantavya News,mantavya news,mantavya news,0.0,neutral
Mediacités,mediacités,mediacités,0.0,neutral
Haley Bobseine,haley bobseine,haley bobseine,0.0,neutral
"Institute for Governance, Policies & Politics",institute for governance policies politics,institute governance policy politics,0.0,neutral
"AIR News Mumbai, आकाशवाणी मुंबई",air news mumbai आकशवण मबई,air news mumbai आकशवण मबई,0.0,neutral
Mantavya News,mantavya news,mantavya news,0.0,neutral
Préfet de la Vienne,préfet de la vienne,préfet de la vienne,0.0,neutral
Voice Tv Urdu,voice tv urdu,voice tv urdu,0.0,neutral
IndiaToday,indiatoday,indiatoday,0.0,neutral
Mantavya News,mantavya news,mantavya news,0.0,neutral
"Institute for Governance, Policies & Politics",institute for governance policies politics,institute governance policy politics,0.0,neutral
KirkukNow,kirkuknow,kirkuknow,0.0,neutral
Arjun Gupta,arjun gupta,arjun gupta,0.0,neutral
"Institute for Governance, Policies & Politics",institute for governance policies politics,institute governance policy politics,0.0,neutral
Hadass Samuelsohn,hadass samuelsohn,hadass samuelsohn,0.0,neutral
Elzakaria,elzakaria,elzakaria,0.0,neutral
"Institute for Governance, Policies & Politics",institute for governance policies politics,institute governance policy politics,0.0,neutral
IndiaToday,indiatoday,indiatoday,0.0,neutral
"AIR News Mumbai, आकाशवाणी मुंबई",air news mumbai आकशवण मबई,air news mumbai आकशवण मबई,0.0,neutral
Picture Story,picture story,picture story,0.0,neutral
Time Maharashtra,time maharashtra,time maharashtra,0.0,neutral
TNIE Telangana,tnie telangana,tnie telangana,0.0,neutral
Laurent Menesplier,laurent menesplier,laurent menesplier,0.0,neutral
Hélène Cillières 2026,hélène cillières,hélène cillières,0.0,neutral
Elizabeth Hughes,elizabeth hughes,elizabeth hughes,0.0,neutral
Perspective Poll,perspective poll,perspective poll,0.0,neutral
Mathrubhumi English,mathrubhumi english,mathrubhumi english,0.0,neutral
Perspective Poll,perspective poll,perspective poll,0.0,neutral
ORF हिन्दी,orf हनद,orf हनद,0.0,neutral
Jai Maharashtra News,jai maharashtra news,jai maharashtra news,0.0,neutral
Perspective Poll,perspective poll,perspective poll,0.0,neutral
Gregor T Mitchell,gregor t mitchell,gregor mitchell,0.0,neutral
The Annapurna Express,the annapurna express,annapurna express,0.0,neutral
TV O12,tv o,tv,0.0,neutral
Perspectivebytes,perspectivebytes,perspectivebytes,0.0,neutral
Raman Bhanot,raman bhanot,raman bhanot,0.0,neutral
ETV Bharat,etv bharat,etv bharat,0.0,neutral
The Annapurna Express,the annapurna express,annapurna express,0.0,neutral
India Herald Group,india herald group,india herald group,0.0,neutral
samantha fairchild,samantha fairchild,samantha fairchild,0.0,neutral
ANFREL,anfrel,anfrel,0.0,neutral
JohnnyChestnuts,johnnychestnuts,johnnychestnuts,0.0,neutral
CO2 means LIFE,co means life,co mean life,0.0,neutral
The Blue Bear,the blue bear,blue bear,0.0,neutral
Tony Payan,tony payan,tony payan,0.0,neutral
Stratheia,stratheia,stratheia,0.0,neutral
Wesley Gibbings,wesley gibbings,wesley gibbings,0.0,neutral
Mister Jed-Eye,mister jedeye,mister jedeye,0.0,neutral
Mister Jed-Eye,mister jedeye,mister jedeye,0.0,neutral
DomPachino101,dompachino,dompachino,0.0,neutral
cbnfpc3,cbnfpc,cbnfpc,0.0,neutral
Mister Jed-Eye,mister jedeye,mister jedeye,0.0,neutral
sdlizlifestyle,sdlizlifestyle,sdlizlifestyle,0.0,neutral
canalalpha,canalalpha,canalalpha,0.0,neutral
Chula Vista Live Data,chula vista live data,chula vista live data,0.0,neutral
Jason Safoutin,jason safoutin,jason safoutin,0.0,neutral
Arbër,arbër,arbër,0.0,neutral
Alahad TV-EN,alahad tven,alahad tven,0.0,neutral
Alahad TV-EN,alahad tven,alahad tven,0.0,neutral
baha,baha,baha,0.0,neutral
European Union in Kosovo,european union in kosovo,european union kosovo,0.0,neutral
Haider Majeed,haider majeed,haider majeed,0.0,neutral
Eve Zalwango #TheCarpenter #FundiWomen,eve zalwango,eve zalwango,0.0,neutral
Laurent Jean,laurent jean,laurent jean,0.0,neutral
Michael Herbert,michael herbert,michael herbert,0.0,neutral
Mister Jed-Eye,mister jedeye,mister jedeye,0.0,neutral
European Union in Kosovo,european union in kosovo,european union kosovo,0.0,neutral
VIMOOZ Cinema,vimooz cinema,vimooz cinema,0.0,neutral
Ella-Ondo,ellaondo,ellaondo,0.0,neutral
VIMOOZ Cinema,vimooz cinema,vimooz cinema,0.0,neutral
Espinoza Faith Grace,espinoza faith grace,espinoza faith grace,0.6808,positive
#War_in_Ukraine #Facts #Opinions #Trends #Kharkiv,,,0.0,neutral
The Delhi Junction,the delhi junction,delhi junction,0.0,neutral
The DOE Network,the doe network,doe network,0.0,neutral
GeoIslamNews,geoislamnews,geoislamnews,0.0,neutral
TMac,tmac,tmac,0.0,neutral
Tamra Farah,tamra farah,tamra farah,0.0,neutral
Nia Coleman,nia coleman,nia coleman,0.0,neutral
Picture Story,picture story,picture story,0.0,neutral
Mags,mags,mag,0.0,neutral
Raushan sawarn,raushan sawarn,raushan sawarn,0.0,neutral
ABP BIHAR,abp bihar,abp bihar,0.0,neutral
ABP News,abp news,abp news,0.0,neutral
ABP BIHAR,abp bihar,abp bihar,0.0,neutral
ABP BIHAR,abp bihar,abp bihar,0.0,neutral
ABP News,abp news,abp news,0.0,neutral
ABP BIHAR,abp bihar,abp bihar,0.0,neutral
ABP News,abp news,abp news,0.0,neutral
MrMarket Nepse,mrmarket nepse,mrmarket nepse,0.0,neutral
ABP BIHAR,abp bihar,abp bihar,0.0,neutral
ABP News,abp news,abp news,0.0,neutral
Autumnway Cleley,autumnway cleley,autumnway cleley,0.0,neutral
LULAC,lulac,lulac,0.0,neutral
Laughing Colours,laughing colours,laughing colour,0.4939,positive
Antiset,antiset,antiset,0.0,neutral
Brian ChomaDrPepper2,brian chomadrpepper,brian chomadrpepper,0.0,neutral
Perspective Poll,perspective poll,perspective poll,0.0,neutral
xabasso,xabasso,xabasso,0.0,neutral
LULAC,lulac,lulac,0.0,neutral
Ngoumba Now,ngoumba now,ngoumba,0.0,neutral
Mi Channel,mi channel,mi channel,0.0,neutral
Al-Estiklal English,alestiklal english,alestiklal english,0.0,neutral
ESdiario,esdiario,esdiario,0.0,neutral
Ms Pinki Virani,ms pinki virani,m pinki virani,0.0,neutral
Awdhesh Kumar Mishra,awdhesh kumar mishra,awdhesh kumar mishra,0.0,neutral
REBEL REDDY,rebel reddy,rebel reddy,-0.1531,negative
Godson Lubrun,godson lubrun,godson lubrun,0.0,neutral
Milton,milton,milton,0.0,neutral
Anudeep Patchala,anudeep patchala,anudeep patchala,0.0,neutral
Sundarbans Stories,sundarbans stories,sundarbans story,0.0,neutral
Sanatan Ka Suryoday,sanatan ka suryoday,sanatan ka suryoday,0.0,neutral
Mark Lesher,mark lesher,mark lesher,0.0,neutral
Outlook India,outlook india,outlook india,0.0,neutral
Picture Story,picture story,picture story,0.0,neutral
IndiaTV English,indiatv english,indiatv english,0.0,neutral
Al-Estiklal English,alestiklal english,alestiklal english,0.0,neutral
Abidjan Anecdotes,abidjan anecdotes,abidjan anecdote,0.0,neutral
SemaTv,sematv,sematv,0.0,neutral
Al Arabiya English,al arabiya english,al arabiya english,0.0,neutral
Al Arabiya English,al arabiya english,al arabiya english,0.0,neutral
Dhaka Dossier,dhaka dossier,dhaka dossier,0.0,neutral
Salum Kamara,salum kamara,salum kamara,0.0,neutral
Nc kalakote Sunderbani,nc kalakote sunderbani,nc kalakote sunderbani,0.0,neutral
rena,rena,rena,0.0,neutral
Nc kalakote Sunderbani,nc kalakote sunderbani,nc kalakote sunderbani,0.0,neutral
africa universal French,africa universal french,africa universal french,0.0,neutral
